novel_name,author,novelurl,serialstatus,serialnumber,category,collects,reviews
神骨鉴,筋肉小男,http://chuangshi.qq.com/bk/xx/19827344.html,仙侠,327167,连载中,433,4326
祭奠，我的空间,清月落影,http://chuangshi.qq.com/bk/xh/17063982.html,玄幻,131190,连载中,1020,9999
重生之极品鬼王,慕容永夜,http://chuangshi.qq.com/bk/ly/20280394.html,灵异,81381,连载中,3110,7843
三世惊情,三某你好,http://chuangshi.qq.com/bk/kh/719290.html,科幻,242108,连载中,103297,493673
神级狂医在花都,南京南,http://chuangshi.qq.com/bk/ds/17091355.html,都市,880163,连载中,3911,25030
爵音神灵,流年过,http://chuangshi.qq.com/bk/xh/20132741.html,玄幻,22555,连载中,54,341
第一强者,天堂羽,http://chuangshi.qq.com/bk/ds/17101757.html,都市,1061311,连载中,23204,41448
重返十七岁的球场王者,狮子白羊,http://chuangshi.qq.com/bk/ty/19981299.html,体育,166124,连载中,419,4192
三国之单挑猛将,卧龙游三国,http://chuangshi.qq.com/bk/ls/19268771.html,历史,320950,连载中,6754,23079
你好，你有未送出的信,林桐木,http://chuangshi.qq.com/bk/qc/20371981.html,现实,5096,连载中,33,227
修仙玩家俱乐部,ehaos,http://chuangshi.qq.com/bk/ds/20453833.html,都市,14519,连载中,26,258
守护末世家园,四楼蓝领,http://chuangshi.qq.com/bk/kh/20444338.html,科幻,5389,连载中,22,220
符文都市,喜欢玩牧师,http://chuangshi.qq.com/bk/ds/20321993.html,都市,65033,连载中,133,734
三国之龙皇霸主,杏仁饼干,http://chuangshi.qq.com/bk/ls/20337580.html,历史,52058,连载中,980,4503
篮筐轰炸,苏an,http://chuangshi.qq.com/bk/ty/15831744.html,体育,683887,连载中,4230,28301
古武至尊魔戒,侠梦武魂,http://chuangshi.qq.com/bk/wx/15986849.html,武侠,842433,连载中,9380,26901
变身之女神养成计划,悲殇的秋千,http://chuangshi.qq.com/bk/2cy/19368580.html,二次元,459174,连载中,6342,38864
凌云神主,龙丛云,http://chuangshi.qq.com/bk/xh/20313986.html,玄幻,78572,连载中,2125,6977
我的女鬼寨主,老牛拉破车,http://chuangshi.qq.com/bk/ly/16647547.html,灵异,750843,连载中,19944,22121
软饭天王,纳兰康成,http://chuangshi.qq.com/bk/ds/13770483.html,都市,3593313,连载中,46569,153576
直播之随身厨房,官鬼禽曜,http://chuangshi.qq.com/bk/ds/19926205.html,都市,230828,连载中,968,7879
网游之逆乱崛起,流佚,http://chuangshi.qq.com/bk/yx/20134227.html,游戏,75009,连载中,79,790
贫道有妻,7流,http://chuangshi.qq.com/bk/ds/11436162.html,都市,163955,连载中,6050,12539
异世超级天王,王十二.CS,http://chuangshi.qq.com/bk/yx/20360391.html,游戏,41567,连载中,104,443
跌宕人生曲折路,万世博少,http://chuangshi.qq.com/bk/ds/19703519.html,都市,457374,连载中,480,4801
醉眼笑京华,海棠月,http://chuangshi.qq.com/bk/wx/19928243.html,武侠,117142,连载中,796,3263
秦汉戮,小辰泽,http://chuangshi.qq.com/bk/ls/19989863.html,历史,540409,连载中,2000,10404
探灵主播,快看那只二哈,http://chuangshi.qq.com/bk/ly/15202092.html,灵异,854212,连载中,5881,16197
九星魔帝,月洛宁,http://chuangshi.qq.com/bk/xh/20219214.html,玄幻,151258,连载中,475,2850
透视极品神医,金帛鲤,http://chuangshi.qq.com/bk/ds/15385590.html,都市,1342457,连载中,17889,56452
我有神级无敌系统,夏天穿拖鞋,http://chuangshi.qq.com/bk/ds/14592692.html,都市,1990379,连载中,10305,57192
千机录,兵站,http://chuangshi.qq.com/bk/xx/11342072.html,仙侠,1864286,连载中,11687,62103
美女的无敌神医,苍问情,http://chuangshi.qq.com/bk/ds/15828854.html,都市,1151415,连载中,5071,19075
帝神无双,乱世笙歌,http://chuangshi.qq.com/bk/xh/15332103.html,玄幻,466412,连载中,2296,19101
逆鳞苍穹传,桃乐吉,http://chuangshi.qq.com/bk/qh/15266483.html,奇幻,739773,连载中,18198,25829
重生之武道无双,无名指的血祭,http://chuangshi.qq.com/bk/wx/14083624.html,武侠,2332071,连载中,23973,112279
